player_name,matched_name,stat_type,line_score,our_prediction,prediction,edge,edge_percent,confidence,team,opponent,position,games_in_dataset,timestamp,analysis_date
LeBron James,LeBron James,Points,24.5,30.95,OVER,6.45,26.34,0.8694,LAL,DAL,PF,78,2025-02-24 22:24:37.240098,2025-02-24
Kristaps Porzingis,Kristaps Porzingis,Points,19.5,14.92,UNDER,4.58,23.48,0.852,BOS,TOR,C,95,2025-02-24 22:24:37.240098,2025-02-24
Jarrett Allen,Jarrett Allen,Points,11.5,20.62,OVER,9.12,79.32,0.8505,CLE,ORL,C,81,2025-02-24 22:24:37.240098,2025-02-24
LeBron James,LeBron James,Rebounds,8.0,9.29,OVER,1.29,16.17,0.845,LAL,DAL,PF,78,2025-02-24 22:24:37.240098,2025-02-24
Rui Hachimura,Rui Hachimura,Points,14.5,20.97,OVER,6.47,44.62,0.8408,LAL,DAL,SF,123,2025-02-24 22:24:37.240098,2025-02-24
Paolo Banchero,Paolo Banchero,Points,22.5,39.87,OVER,17.37,77.21,0.8393,ORL,CLE,PF,87,2025-02-24 22:24:37.240098,2025-02-24
Donovan Mitchell,Donovan Mitchell,Points,25.5,32.87,OVER,7.37,28.91,0.836,CLE,ORL,SG,119,2025-02-24 22:24:37.240098,2025-02-24
Jayson Tatum,Jayson Tatum,Points,25.5,32.01,OVER,6.51,25.51,0.8309,BOS,TOR,PF,93,2025-02-24 22:24:37.240098,2025-02-24
LeBron James,LeBron James,Assists,7.5,11.48,OVER,3.98,53.0,0.83,LAL,DAL,PF,78,2025-02-24 22:24:37.240098,2025-02-24
Al Horford,Al Horford,Rebounds,6.5,8.91,OVER,2.41,37.13,0.8285,BOS,TOR,PF,84,2025-02-24 22:24:37.240098,2025-02-24
Kyrie Irving,Kyrie Irving,Rebounds,5.0,2.76,UNDER,2.24,44.79,0.8259,DAL,LAL,PG,81,2025-02-24 22:24:37.240098,2025-02-24
Evan Mobley,Evan Mobley,Rebounds,9.5,13.36,OVER,3.86,40.65,0.8237,CLE,ORL,PF,113,2025-02-24 22:24:37.240098,2025-02-24
Goga Bitadze,Goga Bitadze,Rebounds,5.5,8.83,OVER,3.33,60.46,0.8232,ORL,CLE,C,97,2025-02-24 22:24:37.240098,2025-02-24
Max Strus,Max Strus,Points,8.5,12.52,OVER,4.02,47.34,0.8214,CLE,ORL,SF,82,2025-02-24 22:24:37.240098,2025-02-24
Evan Mobley,Evan Mobley,Points,17.5,25.69,OVER,8.19,46.77,0.8204,CLE,ORL,PF,113,2025-02-24 22:24:37.240098,2025-02-24
Immanuel Quickley,Immanuel Quickley,Points,16.5,22.73,OVER,6.23,37.76,0.8173,TOR,BOS,PG,86,2025-02-24 22:24:37.240098,2025-02-24
Kyrie Irving,Kyrie Irving,Points,26.5,15.01,UNDER,11.49,43.37,0.8143,DAL,LAL,PG,81,2025-02-24 22:24:37.240098,2025-02-24
Jayson Tatum,Jayson Tatum,Rebounds,7.5,8.84,OVER,1.34,17.87,0.812,BOS,TOR,PF,93,2025-02-24 22:24:37.240098,2025-02-24
Cole Anthony,Cole Anthony,Rebounds,3.5,2.05,UNDER,1.45,41.41,0.8107,ORL,CLE,SG,88,2025-02-24 22:24:37.240098,2025-02-24
RJ Barrett,RJ Barrett,Points,20.5,22.67,OVER,2.17,10.59,0.809,TOR,BOS,SF,102,2025-02-24 22:24:37.240098,2025-02-24
Paolo Banchero,Paolo Banchero,Assists,5.5,2.02,UNDER,3.48,63.3,0.8065,ORL,CLE,PF,87,2025-02-24 22:24:37.240098,2025-02-24
Cole Anthony,Cole Anthony,Points,11.5,7.79,UNDER,3.71,32.26,0.8059,ORL,CLE,SG,88,2025-02-24 22:24:37.240098,2025-02-24
Goga Bitadze,Goga Bitadze,Points,5.5,10.81,OVER,5.31,96.53,0.8055,ORL,CLE,C,97,2025-02-24 22:24:37.240098,2025-02-24
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,Points,7.5,5.0,UNDER,2.5,33.38,0.8019,ORL,CLE,SG,88,2025-02-24 22:24:37.240098,2025-02-24
Franz Wagner,Franz Wagner,Points,25.5,7.04,UNDER,18.46,72.38,0.7992,ORL,CLE,SF,79,2025-02-24 22:24:37.240098,2025-02-24
Gradey Dick,Gradey Dick,3-PT Made,1.5,3.1,OVER,1.6,106.58,0.7976,TOR,BOS,SG,106,2025-02-24 22:24:37.240098,2025-02-24
Darius Garland,Darius Garland,Points,18.5,9.94,UNDER,8.56,46.29,0.7936,CLE,ORL,PG,123,2025-02-24 22:24:37.240098,2025-02-24
Jarrett Allen,Jarrett Allen,Rebounds,10.5,9.2,UNDER,1.3,12.35,0.7926,CLE,ORL,C,81,2025-02-24 22:24:37.240098,2025-02-24
Gradey Dick,Gradey Dick,Points,10.5,8.98,UNDER,1.52,14.45,0.7909,TOR,BOS,SG,106,2025-02-24 22:24:37.240098,2025-02-24
Anthony Black,Anthony Black,Points,8.5,22.23,OVER,13.73,161.57,0.7886,ORL,CLE,PG,114,2025-02-24 22:24:37.240098,2025-02-24
Rui Hachimura,Rui Hachimura,Rebounds,5.0,-0.37,UNDER,5.37,107.37,0.7883,LAL,DAL,SF,123,2025-02-24 22:24:37.240098,2025-02-24
Jaylen Brown,Jaylen Brown,3-PT Made,1.5,1.87,OVER,0.37,24.45,0.7875,BOS,TOR,SF,89,2025-02-24 22:24:37.240098,2025-02-24
Donovan Mitchell,Donovan Mitchell,Assists,5.5,6.02,OVER,0.52,9.4,0.7857,CLE,ORL,SG,119,2025-02-24 22:24:37.240098,2025-02-24
Franz Wagner,Franz Wagner,Rebounds,5.5,6.05,OVER,0.55,10.05,0.7849,ORL,CLE,SF,79,2025-02-24 22:24:37.240098,2025-02-24
Wendell Carter Jr.,Wendell Carter Jr.,Rebounds,7.5,8.58,OVER,1.08,14.39,0.7801,ORL,CLE,C,107,2025-02-24 22:24:37.240098,2025-02-24
Jakob Poeltl,Jakob Poeltl,Assists,2.5,1.87,UNDER,0.63,25.29,0.7786,TOR,BOS,C,95,2025-02-24 22:24:37.240098,2025-02-24
Derrick White,Derrick White,Points,13.5,14.41,OVER,0.91,6.73,0.7768,BOS,TOR,PG,92,2025-02-24 22:24:37.240098,2025-02-24
Jaxson Hayes,Jaxson Hayes,Points,7.0,0.53,UNDER,6.47,92.42,0.7751,LAL,DAL,C,70,2025-02-24 22:24:37.240098,2025-02-24
Klay Thompson,Klay Thompson,Points,14.5,0.08,UNDER,14.42,99.46,0.7725,DAL,LAL,SF,77,2025-02-24 22:24:37.240098,2025-02-24
Jaylen Brown,Jaylen Brown,Points,20.5,22.39,OVER,1.89,9.23,0.7681,BOS,TOR,SF,89,2025-02-24 22:24:37.240098,2025-02-24
Austin Reaves,Austin Reaves,Points,18.0,18.91,OVER,0.91,5.07,0.7673,LAL,DAL,SG,89,2025-02-24 22:24:37.240098,2025-02-24
Kristaps Porzingis,Kristaps Porzingis,Rebounds,7.5,7.07,UNDER,0.43,5.67,0.767,BOS,TOR,C,95,2025-02-24 22:24:37.240098,2025-02-24
Jarrett Allen,Jarrett Allen,Assists,1.5,-0.03,UNDER,1.53,102.12,0.7656,CLE,ORL,C,81,2025-02-24 22:24:37.240098,2025-02-24
Anthony Black,Anthony Black,3-PT Made,0.5,3.7,OVER,3.2,639.05,0.7653,ORL,CLE,PG,114,2025-02-24 22:24:37.240098,2025-02-24
Wendell Carter Jr.,Wendell Carter Jr.,Points,10.5,11.39,OVER,0.89,8.51,0.7554,ORL,CLE,C,107,2025-02-24 22:24:37.240098,2025-02-24
Wendell Carter Jr.,Wendell Carter Jr.,3-PT Made,0.5,1.01,OVER,0.51,102.49,0.7492,ORL,CLE,C,107,2025-02-24 22:24:37.240098,2025-02-24
Donovan Mitchell,Donovan Mitchell,Turnovers,2.5,1.47,UNDER,1.03,41.02,0.7329,CLE,ORL,SG,119,2025-02-24 22:24:37.240098,2025-02-24
Darius Garland,Darius Garland,Turnovers,2.5,1.02,UNDER,1.48,59.08,0.7208,CLE,ORL,PG,123,2025-02-24 22:24:37.240098,2025-02-24
Scottie Barnes,Scottie Barnes,Points,19.5,19.91,OVER,0.41,2.09,0.7079,TOR,BOS,PF,104,2025-02-24 22:24:37.240098,2025-02-24
Goga Bitadze,Goga Bitadze,Turnovers,0.5,1.0,OVER,0.5,100.9,0.7077,ORL,CLE,C,97,2025-02-24 22:24:37.240098,2025-02-24
